id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,zone,zoneId,type,typeId,mobi,volume,volNieuw,volNieuwGem
90,167.1,102.26,7.748142,0.6119689,4.7416215,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7821.0,792.325,1052.5327,850.5498
91,160.26,296.88,10.563409,1.8524898,19.568607,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,8013.0,3136.065,3136.065,3144.052
92,642.42,135.28,5.639163,0.21057875,1.187488,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7635.0,762.86597,619.2459,897.2415
93,692.59,135.24,0.31478262,0.19526704,0.061466668,MOLENSTRAAT,27,woongebied,1,7763.0,42.5712,426.50604,295.13086
94,124.0,74.63,8.49,0.6018548,5.109747,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,7937.0,633.60864,544.5959,654.19116
95,5195.11,0.0,0.0,0.0,0.0,VELDEKEN,6,landbouwgebied,5,7104.0,0.0,0.0,0.34913638
96,32.17,0.0,0.0,0.0,0.0,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7923.0,0.0,0.0,77.59543
97,921.87,0.0,0.0,0.0,0.0,WARME LANDEN,26,woonvernieuwingsgebied,2,7176.0,0.0,0.0,96.41102
98,327.91,83.65,0.0,0.2551005,0.0,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7570.0,0.0,244.82199,244.83157
99,265.37,89.88,10.4,0.3386969,3.5224478,BOTERHOEK,14,buitengebied,6,5947.0,934.75195,865.8043,941.947
100,1918.08,311.55,8.01,0.16242805,1.3010486,WARME LANDEN,26,woonuitbreidingsgebied,3,7299.0,2495.5154,3026.501,2652.8708
101,266.16,105.66,7.252663,0.39697927,2.8791568,MOLENSTRAAT,27,woongebied,1,7661.0,766.3164,1108.4869,931.5229
102,11.63,0.0,0.0,0.0,0.0,MOLENSTRAAT,27,woongebied,1,7984.0,0.0,0.0,47.058846
103,6138.81,0.0,0.0,0.0,0.0,BALGERHOEK,20,woongebied,1,5941.0,0.0,0.0,0.0
104,1058.34,222.21,5.768387,0.2099609,1.2111357,GALGENAKKER,22,woongebied,1,7024.0,1281.7933,1665.7281,1414.9358
105,189.97,104.48,9.15,0.5499816,5.0323315,MOLENSTRAAT,27,woongebied,1,7781.0,955.992,805.9708,1013.8261
106,341.93,98.23,3.46,0.28728104,0.99399245,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8018.0,339.87582,576.9231,524.9485
107,14509.06,0.0,0.0,0.0,0.0,SINT-JANS VELD,12,landbouwgebied,5,6783.0,0.0,0.0,0.38087606
108,83.52,83.52,8.28,1.0,8.28,GALGENAKKER,22,woonuitbreidingsgebied,3,6795.0,691.54553,691.54553,687.8798
109,174.8,80.05,4.31,0.45795196,1.9737729,GALGENAKKER,22,woongebied,1,7138.0,345.0155,535.9347,451.6613
