shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"13419","981527",3393.63,0.000000,0.000000,,GALGENAKKER,,,,,GALGENAKKER,"22","6336",91215.9927750000,209309.0777700000
"13420","5136518",338.45,0.000000,0.000000,,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","7559",95515.7883340000,207798.7796500000
"13421","3809010",865.37,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,HET LEEN,"5","6743",93778.4246770000,206847.9648700000
"13422","1828126",542015.77,0.000000,0.000000,,,,,,,HET LEEN,"5","6460",94537.8405390000,206113.9595300000
"13423","5136434",929.28,413.690000,1865.189000,4.509,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7898",94259.9107700000,209256.9788100000
"13424","5136454",192.92,79.640000,634.731000,7.970,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7919",94481.8324480000,208780.5331900000
"13425","3808983",1625.39,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VELDEKEN,"6","5501",92756.5730820000,206264.2219500000
"13426","5136430",25.61,9.420000,23.362000,2.480,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7940",94132.9529010000,209120.2487600000
"13427","2312431",3819.27,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VROMBAUT,"9","5896",96735.0138690000,209306.0683000000
"13428","5136390",15.74,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7936",93621.1641650000,208215.3076200000
"13429","3808979",6790.54,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VELDEKEN,"6","5430",92664.7527470000,206221.3229100000
"13430","4041570",148.29,71.030000,597.362000,8.410,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8031",94260.6509110000,207809.8410600000
"13431","5136455",1338.15,1466.330000,17208.285000,11.736,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","8035",94505.7115190000,208234.5621500000
"13432","984472",7947.39,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VROMBAUT,"9","6120",96577.4125350000,209720.4117200000
"13433","5136401",13.31,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93636.9956330000,208183.5963300000
"13434","4041442",297.84,0.000000,0.000000,,,,,,Voedergewassen,OOSTVELD,"7","6714",96530.8402480000,207954.7454000000
"13435","984478",10795.77,0.000000,0.000000,,,,,,Grasland,VROMBAUT,"9","6268",96797.2066400000,208863.3835500000
